F S   UID     PID    PPID  C PRI  NI ADDR SZ WCHAN  TTY          TIME CMD
1 S     0      94       2  0   9   - -     0 -      ?        00:00:00 idle_inject/13
1 S     0      95       2  0 -40   - -     0 -      ?        00:00:02 migration/13
1 S     0      96       2  0  80   0 -     0 -      ?        00:00:00 ksoftirqd/13
1 I     0      98       2  0  60 -20 -     0 -      ?        00:00:00 kworker/13:0H-events_highpri
5 S     0      99       2  0  80   0 -     0 -      ?        00:00:00 cpuhp/14
1 S     0     100       2  0   9   - -     0 -      ?        00:00:00 idle_inject/14
1 S     0     101       2  0 -40   - -     0 -      ?        00:00:02 migration/14
1 S     0     102       2  0  80   0 -     0 -      ?        00:00:00 ksoftirqd/14
1 I     0     104       2  0  60 -20 -     0 -      ?        00:00:02 kworker/14:0H-kblockd
5 S     0     105       2  0  80   0 -     0 -      ?        00:00:00 cpuhp/15
1 S     0     106       2  0   9   - -     0 -      ?        00:00:00 idle_inject/15
1 S     0     107       2  0 -40   - -     0 -      ?        00:00:02 migration/15
1 S     0     108       2  0  80   0 -     0 -      ?        00:00:00 ksoftirqd/15
1 I     0     110       2  0  60 -20 -     0 -      ?        00:00:00 kworker/15:0H-events_highpri
5 S     0     113       2  0  80   0 -     0 -      ?        00:00:00 kdevtmpfs
1 I     0     114       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-inet_
1 S     0     115       2  0  80   0 -     0 -      ?        00:00:02 kauditd
1 S     0     118       2  0  80   0 -     0 -      ?        00:00:00 khungtaskd
1 S     0     119       2  0  80   0 -     0 -      ?        00:00:00 oom_reaper
1 I     0     121       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-write
1 S     0     123       2  0  80   0 -     0 -      ?        00:08:37 kcompactd0
1 S     0     124       2  0  80   0 -     0 -      ?        00:01:06 kcompactd1
1 S     0     125       2  0  85   5 -     0 -      ?        00:00:00 ksmd
1 S     0     126       2  0  99  19 -     0 -      ?        00:00:00 khugepaged
1 I     0     127       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-kinte
1 I     0     128       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-kbloc
1 I     0     129       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-blkcg
1 S     0     130       2  0   9   - -     0 -      ?        00:00:00 irq/9-acpi
1 I     0     131       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-tpm_d
